,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
2793,to make beautiful,19,19_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to look at', 'to look at ', 'to look at ']",human activity -  -  -  -  -  -  -  -  - ,0.3870780177634503,False
2794,"to strive to do, to do of one's own accord",9,9_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to want, desire ', 'to want, desire', 'to want, desire']",human activity -  -  -  -  -  -  -  -  - ,0.20401962857137007,False
2795,to shoot at continually,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2796,"to clean over and over as in cleaning out a gourd, to cook bamboo sprouts over and over again to take away bitter taste",8,8_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",human activity -  -  -  -  -  -  -  -  - ,0.14533200690459175,False
2797,lonesome,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2798,to lie,43,43_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to lie down', 'to lie', 'to lie']",human activity -  -  -  -  -  -  -  -  - ,1.0,True
2799,to make difficult for,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2800,to have a contest,62,62_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to try to win, to have a contest ', 'to knock; to fight each other', 'fight each other ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2801,to pass goods on to,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2802,of a child to have a large stomach,72,72_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to designate person with big stomach', 'bloated stomach of large animals ', 'to make stomach bloated ']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
2803,"describes many round, full stomachs",72,72_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to designate person with big stomach', 'bloated stomach of large animals ', 'to make stomach bloated ']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
2804,"king, high ruler",0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,0.9207574036645066,False
2805,device for making cotton ,14,14_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to put on clothes', 'clothes', 'clothes ']",human activity -  -  -  -  -  -  -  -  - ,0.5582166871353087,False
2806,to do in place of change off replace ,44,44_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to turn over, a vehicle turning over', 'to have to do over and over, say over and over', 'to do over and over']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2807,to plant ,45,45_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['stem that makes new leaf, flower', 'leaf stem and main vein running up middle of leaf ', 'leaf ']",plants -  -  -  -  -  -  -  -  - ,1.0,False
2808,to paste on stamp on; to feed clothes into wringer ,14,14_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to put on clothes', 'clothes', 'clothes ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2809,a boil,103,103_water___,"['water', '', '', '', '', '', '', '', '', '']","['large kettle', 'metal pot, kettle, pan', 'pot, kettle ']",water -  -  -  -  -  -  -  -  - ,1.0,False
2810,"example, illustration",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2811,to compare ,19,19_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to look at', 'to look at ', 'to look at ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2812,to place by fire to warm,11,11_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to light a fire', 'to light a fire ', 'large fire']",human activity -  -  -  -  -  -  -  -  - ,0.44852048327018995,False
2813,to blister ,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
2814,ant hill (old and hard) ,18,18_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['type of ant ', 'of an ant or bee to sting', 'a type of bee-like insect that is very small, its honey and offspring are edible']",animals activity -  -  -  -  -  -  -  -  - ,0.8591138004657253,False
2815,to make stomach bloated ,72,72_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to designate person with big stomach', 'bloated stomach of large animals ', 'to make stomach bloated ']",animals activity -  -  -  -  -  -  -  -  - ,1.0,True
2816,buttocks,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2817,completely,7,7_more_completely_all_enough,"['more', 'completely', 'all', 'enough', 'many', 'much', 'full', 'little', 'kind', 'only']","['all, no more', 'no more, enough', 'all, completely']",more - completely - all - enough - many - much - full - little - kind - only,1.0,False
2818,to dress up crazily to make people laugh ,32,32_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to keep quiet', 'to be quiet t', 'to be quiet']",human activity -  -  -  -  -  -  -  -  - ,0.46117990286385085,False
2819,bloated stomach of large animals ,72,72_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to designate person with big stomach', 'bloated stomach of large animals ', 'to make stomach bloated ']",animals activity -  -  -  -  -  -  -  -  - ,1.0,True
2820,emphatic form of pơtông many animals with bloated stomachs,72,72_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to designate person with big stomach', 'bloated stomach of large animals ', 'to make stomach bloated ']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
2821,to ask to go with invite to go somewhere ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2822,to begin,60,60_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['before, in front of, first', 'to begin, the beginning ', 'before, first']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2823,the beginning ,60,60_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['before, in front of, first', 'to begin, the beginning ', 'before, first']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2824,"to teach, train, practice ",74,74_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to tell, to teach', 'to translate interpret explain', 'to arbitrate, judge, have trial; to interpret explain']",human activity -  -  -  -  -  -  -  -  - ,0.7760273440900488,False
2825,to put on someone else for them ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2826,"to go tell, to inform",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2827,"to get one attention by calling, to tell dogs to bite prey ",28,28_animals___,"['animals', '', '', '', '', '', '', '', '', '']","['to look for by smelling as dog after prey', 'to make to look for by smelling e.g. dog after prey', 'dog']",animals -  -  -  -  -  -  -  -  - ,1.0,False
2828,to persuade usually with bad intent ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2829,same as pơtuch but the distance between caller and listener is less,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2830,to praise ,53,53_language___,"['language', '', '', '', '', '', '', '', '', '']","['to praise ', 'to praise', 'to praise, be amazed at']",language -  -  -  -  -  -  -  -  - ,1.0,True
2831,"to praise, tell about something important far and wide",53,53_language___,"['language', '', '', '', '', '', '', '', '', '']","['to praise ', 'to praise', 'to praise, be amazed at']",language -  -  -  -  -  -  -  -  - ,1.0,False
2832,to think through and understand by oneself,74,74_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to tell, to teach', 'to translate interpret explain', 'to arbitrate, judge, have trial; to interpret explain']",human activity -  -  -  -  -  -  -  -  - ,0.9179710413549961,False
2833,only enough to eat for this meal ,46,46_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to get hungry for when seeing someone else eat', 'to eat ', 'to eat slowly, eat a little']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
